Match_Date,Season_Label,Season_Usage,Team_ID,Team_Name,Opponent,Team_Score,Opponent_Score,Win,Best_Of,LAN_Online,Match_ID,Match_URL
2025-03-08,2025_s1,train,4914,3DMAX,Vitality,0,2,0,bo3,LAN,2380051,https://www.hltv.org/matches/2380051/vitality-vs-3dmax-esl-pro-league-season-21
2025-03-07,2025_s1,train,4914,3DMAX,Eternal Fire,2,0,1,bo3,LAN,2380045,https://www.hltv.org/matches/2380045/eternal-fire-vs-3dmax-esl-pro-league-season-21
2025-03-04,2025_s1,train,4914,3DMAX,M80,2,0,1,bo3,LAN,2380034,https://www.hltv.org/matches/2380034/3dmax-vs-m80-esl-pro-league-season-21-stage-1
2025-03-03,2025_s1,train,4914,3DMAX,HEROIC,2,0,1,bo3,LAN,2380022,https://www.hltv.org/matches/2380022/heroic-vs-3dmax-esl-pro-league-season-21-stage-1
2025-03-02,2025_s1,train,4914,3DMAX,Mindfreak,2,0,1,bo3,LAN,2380015,https://www.hltv.org/matches/2380015/3dmax-vs-mindfreak-esl-pro-league-season-21-stage-1
2025-03-01,2025_s1,train,4914,3DMAX,TYLOO,0,2,0,bo3,LAN,2379995,https://www.hltv.org/matches/2379995/3dmax-vs-tyloo-esl-pro-league-season-21-stage-1
2025-02-18,2025_s1,train,4914,3DMAX,SAW,0,2,0,bo3,LAN,2379358,https://www.hltv.org/matches/2379358/3dmax-vs-saw-pgl-cluj-napoca-2025
2025-02-17,2025_s1,train,4914,3DMAX,Eternal Fire,1,2,0,bo3,LAN,2379352,https://www.hltv.org/matches/2379352/3dmax-vs-eternal-fire-pgl-cluj-napoca-2025
2025-02-16,2025_s1,train,4914,3DMAX,MIBR,2,0,1,bo3,LAN,2379343,https://www.hltv.org/matches/2379343/3dmax-vs-mibr-pgl-cluj-napoca-2025
2025-02-15,2025_s1,train,4914,3DMAX,MOUZ,0,2,0,bo3,LAN,2379334,https://www.hltv.org/matches/2379334/mouz-vs-3dmax-pgl-cluj-napoca-2025
2025-02-14,2025_s1,train,4914,3DMAX,Virtus.pro,2,1,1,bo3,LAN,2379327,https://www.hltv.org/matches/2379327/3dmax-vs-virtuspro-pgl-cluj-napoca-2025
2025-02-10,2025_s1,train,4914,3DMAX,HEROIC,2,1,1,bo3,ONLINE,2379281,https://www.hltv.org/matches/2379281/heroic-vs-3dmax-iem-dallas-2025-europe-closed-qualifier
2025-02-10,2025_s1,train,4914,3DMAX,NEVERMORE,2,1,1,bo3,ONLINE,2379273,https://www.hltv.org/matches/2379273/3dmax-vs-nevermore-iem-dallas-2025-europe-closed-qualifier
2025-02-03,2025_s1,train,4914,3DMAX,Eternal Fire,1,2,0,bo3,LAN,2378906,https://www.hltv.org/matches/2378906/eternal-fire-vs-3dmax-iem-katowice-2025
2025-02-02,2025_s1,train,4914,3DMAX,BIG,2,0,1,bo3,LAN,2378900,https://www.hltv.org/matches/2378900/3dmax-vs-big-iem-katowice-2025
2025-02-01,2025_s1,train,4914,3DMAX,Vitality,0,2,0,bo3,LAN,2378782,https://www.hltv.org/matches/2378782/vitality-vs-3dmax-iem-katowice-2025
2025-01-30,2025_s1,train,4914,3DMAX,MIBR,2,0,1,bo3,LAN,2378691,https://www.hltv.org/matches/2378691/3dmax-vs-mibr-iem-katowice-2025-play-in
2025-01-29,2025_s1,train,4914,3DMAX,FlyQuest,2,0,1,bo3,LAN,2378417,https://www.hltv.org/matches/2378417/3dmax-vs-flyquest-iem-katowice-2025-play-in
2025-01-14,2025_s1,train,4914,3DMAX,HEROIC,1,2,0,bo3,ONLINE,2378205,https://www.hltv.org/matches/2378205/3dmax-vs-heroic-blast-bounty-2025-season-1
2024-12-07,2024_s2,train,4914,3DMAX,MOUZ,0,2,0,bo3,LAN,2377720,https://www.hltv.org/matches/2377720/mouz-vs-3dmax-perfect-world-shanghai-major-2024
2024-12-06,2024_s2,train,4914,3DMAX,G2,8,13,0,bo1,LAN,2377714,https://www.hltv.org/matches/2377714/g2-vs-3dmax-perfect-world-shanghai-major-2024
2024-12-05,2024_s2,train,4914,3DMAX,paiN,13,11,1,bo1,LAN,2377711,https://www.hltv.org/matches/2377711/3dmax-vs-pain-perfect-world-shanghai-major-2024
2024-12-05,2024_s2,train,4914,3DMAX,MIBR,11,13,0,bo1,LAN,2377703,https://www.hltv.org/matches/2377703/3dmax-vs-mibr-perfect-world-shanghai-major-2024
2024-11-22,2024_s2,train,4914,3DMAX,G2,2,1,1,bo3,LAN,2377041,https://www.hltv.org/matches/2377041/g2-vs-3dmax-perfect-world-shanghai-major-2024-europe-rmr-b
2024-11-21,2024_s2,train,4914,3DMAX,Eternal Fire,19,16,1,bo1,LAN,2377031,https://www.hltv.org/matches/2377031/eternal-fire-vs-3dmax-perfect-world-shanghai-major-2024-europe-rmr-b
2024-11-21,2024_s2,train,4914,3DMAX,TSM,13,11,1,bo1,LAN,2376953,https://www.hltv.org/matches/2376953/3dmax-vs-tsm-perfect-world-shanghai-major-2024-europe-rmr-b
2024-11-03,2024_s2,train,4914,3DMAX,OG,2,1,1,bo3,LAN,2376870,https://www.hltv.org/matches/2376870/og-vs-3dmax-thunderpick-world-championship-2024-finals
2024-11-02,2024_s2,train,4914,3DMAX,The MongolZ,0,2,0,bo3,LAN,2376869,https://www.hltv.org/matches/2376869/3dmax-vs-the-mongolz-thunderpick-world-championship-2024-finals
2024-10-26,2024_s2,train,4914,3DMAX,BESTIA,2,1,1,bo3,ONLINE,2376867,https://www.hltv.org/matches/2376867/3dmax-vs-bestia-thunderpick-world-championship-2024
2024-10-21,2024_s2,train,4914,3DMAX,OG,2,0,1,bo3,ONLINE,2376847,https://www.hltv.org/matches/2376847/3dmax-vs-og-thunderpick-world-championship-2024
2024-10-21,2024_s2,train,4914,3DMAX,Falcons,2,0,1,bo3,ONLINE,2376844,https://www.hltv.org/matches/2376844/falcons-vs-3dmax-thunderpick-world-championship-2024
2024-10-19,2024_s2,train,4914,3DMAX,Nemiga,1,2,0,bo3,ONLINE,2376755,https://www.hltv.org/matches/2376755/nemiga-vs-3dmax-esl-challenger-league-season-48-europe
2024-10-18,2024_s2,train,4914,3DMAX,SAW,2,1,1,bo3,ONLINE,2376754,https://www.hltv.org/matches/2376754/3dmax-vs-saw-esl-challenger-league-season-48-europe
2024-10-17,2024_s2,train,4914,3DMAX,Sashi,2,1,1,bo3,ONLINE,2376752,https://www.hltv.org/matches/2376752/3dmax-vs-sashi-esl-challenger-league-season-48-europe
2024-10-16,2024_s2,train,4914,3DMAX,Nemiga,0,2,0,bo3,ONLINE,2376748,https://www.hltv.org/matches/2376748/nemiga-vs-3dmax-esl-challenger-league-season-48-europe
2024-10-15,2024_s2,train,4914,3DMAX,TSM,2,1,1,bo3,ONLINE,2376744,https://www.hltv.org/matches/2376744/3dmax-vs-tsm-esl-challenger-league-season-48-europe
2024-10-12,2024_s2,train,4914,3DMAX,Spirit Academy,1,2,0,bo3,ONLINE,2376580,https://www.hltv.org/matches/2376580/3dmax-vs-spirit-academy-cct-season-2-europe-series-14
2024-10-10,2024_s2,train,4914,3DMAX,CYBERSHOKE,2,0,1,bo3,ONLINE,2376573,https://www.hltv.org/matches/2376573/3dmax-vs-cybershoke-cct-season-2-europe-series-14
2024-10-06,2024_s2,train,4914,3DMAX,Passion UA,1,2,0,bo3,ONLINE,2376265,https://www.hltv.org/matches/2376265/3dmax-vs-passion-ua-cct-season-2-europe-series-13
2024-10-05,2024_s2,train,4914,3DMAX,PARIVISION,2,1,1,bo3,ONLINE,2376261,https://www.hltv.org/matches/2376261/3dmax-vs-parivision-cct-season-2-europe-series-13
2024-10-03,2024_s2,train,4914,3DMAX,Rhyno,2,1,1,bo3,ONLINE,2376255,https://www.hltv.org/matches/2376255/3dmax-vs-rhyno-cct-season-2-europe-series-13
2024-09-29,2024_s2,train,4914,3DMAX,SAW,1,2,0,bo3,ONLINE,2376280,https://www.hltv.org/matches/2376280/saw-vs-3dmax-esl-challenger-katowice-2024-europe-closed-qualifier
2024-09-28,2024_s2,train,4914,3DMAX,B8,1,2,0,bo3,ONLINE,2376278,https://www.hltv.org/matches/2376278/b8-vs-3dmax-esl-challenger-katowice-2024-europe-closed-qualifier
2024-09-28,2024_s2,train,4914,3DMAX,BetBoom,1,2,0,bo3,ONLINE,2375992,https://www.hltv.org/matches/2375992/betboom-vs-3dmax-cct-season-2-europe-series-12
2024-09-27,2024_s2,train,4914,3DMAX,9z,2,0,1,bo3,ONLINE,2376273,https://www.hltv.org/matches/2376273/3dmax-vs-9z-esl-challenger-katowice-2024-europe-closed-qualifier
2024-09-27,2024_s2,train,4914,3DMAX,Nemiga,2,0,1,bo3,ONLINE,2376270,https://www.hltv.org/matches/2376270/3dmax-vs-nemiga-esl-challenger-katowice-2024-europe-closed-qualifier
2024-09-27,2024_s2,train,4914,3DMAX,CYBERSHOKE,2,1,1,bo3,ONLINE,2375988,https://www.hltv.org/matches/2375988/3dmax-vs-cybershoke-cct-season-2-europe-series-12
2024-09-26,2024_s2,train,4914,3DMAX,Aurora,2,0,1,bo3,ONLINE,2375970,https://www.hltv.org/matches/2375970/3dmax-vs-aurora-yalla-compass-summer-2024
2024-09-26,2024_s2,train,4914,3DMAX,Monte,2,0,1,bo3,ONLINE,2375968,https://www.hltv.org/matches/2375968/3dmax-vs-monte-yalla-compass-summer-2024
2024-09-25,2024_s2,train,4914,3DMAX,Zero Tenacity,2,0,1,bo3,ONLINE,2375981,https://www.hltv.org/matches/2375981/3dmax-vs-zero-tenacity-cct-season-2-europe-series-12
2024-09-24,2024_s2,train,4914,3DMAX,Zero Tenacity,2,1,1,bo3,ONLINE,2375964,https://www.hltv.org/matches/2375964/3dmax-vs-zero-tenacity-yalla-compass-summer-2024
